index;nome_produto;categoria;nome_produto_processed;categoria_encoded;pred_encode;categoria_pred
5630;CR PENTEAR MONANGE PROTEINA LEITE 300G;CREME DE PENTEAR;cr pentear monange proteina leite 300 g;85;85;CREME DE PENTEAR
12132;PALMI TATA EXTR 300g;PALMITO;palmi tata extr 300 g;218;123;EXTRATO DE TOMATE
940;AMACIANTE PREZUNIC CLASSICO 2L;AMACIANTE;amaciante prezunic classico 2 l;16;16;AMACIANTE
2079;AZEITONA VERDE DONA HELENA S/CAROCO 163G;AZEITONA;azeitona verde dona helena sem caroco 163 g;36;36;AZEITONA
15115;Quinoa Quinua Branca em Grãos 130g;SAUDÁVEL;quinoa quinua branca em gros 130 g;272;272;SAUDÁVEL
10608;BATOM COR 03 - VULT;MAQUIAGEM;batom cor 03 - vult;189;189;MAQUIAGEM
4459;CHA KININO 10GR ERVA CIDREIRA;CHÁ;cha kinino 10 gr erva cidreira;67;67;CHÁ
15403;ESPUM PETERLONGO 750ML PROSECCO;SIDRA/ESPUMANTE;espum peterlongo 750 ml prosecco;275;275;SIDRA/ESPUMANTE
15864;SUCO NEAT UVA 330ML;SUCO PRONTO/NECTAR;suco neat uva 330 ml;281;281;SUCO PRONTO/NECTAR
7582;FEIJAO BRANCO YOKI 500G;FEIJÃO;feijao branco yoki 500 g;125;125;FEIJÃO
3390;CAFE EXPRESSO 250G;CAFÉ;cafe expresso 250 g;54;54;CAFÉ
16403;TORTA DUCIARA UND CARNE SOL;TORTA;torta duciara und carne sol;291;291;TORTA
408;PRENDEDOR DE CABELO DE PLASTICO(POLIPROP -DAISO;ACESSÓRIOS PARA CABELO;prendedor de cabelo de plasticopoliprop -daiso;6;6;ACESSÓRIOS PARA CABELO
8673;SH DUGS 500ML BRILHO DO PELO;HIGIENE/LIMPEZA PET SHOP;sh dugs 500 ml brilho do pelo;152;273;SHAMPOO
8;ABS S/ABAS CONFIANCE SUAVE C/8;ABSORVENTE;abs sem abas confiance suave com 8;0;0;ABSORVENTE
10519;MANTEIGA TEIXEIRA S/SAL PT 500G;MANTEIGA;manteiga teixeira sem sal pct 500 g;187;187;MANTEIGA
11155;LAPIS COR F.CASTELL 12C+2B KIT GDE;MATERIAL ESCOLAR;lapis cor fcastell 12c+2b kit gde;195;195;MATERIAL ESCOLAR
11376;FORNO MICR MIDEA 25L BC GRILL 127 MTAG31;MICROONDAS;forno micr midea 25 l bc grill 127 mtag31;199;199;MICROONDAS
8392;GUARDANAPO PAPEL KIREY AZUL 23X20 C/50;GUARDANAPO DE PAPEL;guardanapo papel kirey azul 23x20 com 50;144;23;ARTIGOS PARA FESTAS
9497;DETERG PO OMO 1,6KG/PG 1,4KG-CX LAVAGEM PERFTA;LAVA ROUPA PÓ;deterg po omo 16 kgpg 14kg-cx lavagem perfta;165;165;LAVA ROUPA PÓ
8599;DUCHA CORONA MEGA BANHO 5500W BC 127V;HIDRÁULICA;ducha corona mega banho 5500w bc 127v;149;149;HIDRÁULICA
16703;PANELA NIGRO PAPEIRO 16 POLIDA;UTENSÍLIOS DE INOX/ALUMÍNIO;panela nigro papeiro 16 polida;296;296;UTENSÍLIOS DE INOX/ALUMÍNIO
5125;COND TRATY CAB.NORMAIS 350ML;CONDICIONADOR;cond traty cabnormais 350 ml;77;77;CONDICIONADOR
5545;CREAM CHEESE PHILADELPHIA LIGHT 300G;CREAM CHEESE;cream cheese philadelphia light 300 g;83;83;CREAM CHEESE
5817;CR DENT GEL CLOSE UP FRESH PROTECT KIT ED GTS GEL DENTAL 70G;CREME/GEL DENTAL ADULTO;cr dent gel close up fresh protect kit ed gts gel dental 70 g;87;87;CREME/GEL DENTAL ADULTO
14530;SACO ASPIRADOR PO PORTO-PEL ELECTROLUX LISTO C/3;SACOS;saco aspirador po porto-pel electrolux listo com 3;265;265;SACOS
6722;EMPANADO FRANGO LAR FILE A MILANESA 700G;EMPANADO;empanado frango lar file a milanesa 700 g;107;107;EMPANADO
6569;DOCE MARANGUAPE DE LEITE 320G;DOCE PASTA;doce maranguape de leite 320 g;103;103;DOCE PASTA
14556;SACO FACIL 20cmX34cm;SACOS;saco facil 20 cmx34cm;265;265;SACOS
18044;VINHO CHILENO AUTORITAS MALBEC RES 750ML;VINHO;vinho chileno autoritas malbec res 750 ml;311;311;VINHO
5956;Analéa Pé Nota 10 Creme Hidratante 150g (Kit C/03);CREME/ÓLEO MÃO E PÉ;anala p nota 10 creme hidratante 150 g kit com 03;90;90;CREME/ÓLEO MÃO E PÉ
11098;CADERNO MAX UNIV 10X1 200FLS, MAXICARS;MATERIAL ESCOLAR;caderno max univ 10x1 200fls maxicars;195;195;MATERIAL ESCOLAR
4090;TAPETE TRANCADO 43X60CM;CAPACHOS E TAPETES;tapete trancado 43x60 cm;61;61;CAPACHOS E TAPETES
7130;ESM COLORAMA CASTANHA 8ML;ESMALTE;esm colorama castanha 8 ml;116;116;ESMALTE
5046;SHITAKE DASHI 48G;COMIDA ORIENTAL;shitake dashi 48 g;76;76;COMIDA ORIENTAL
7486;PUDIM LEITE PETROGOOD 450G;FARINÁCEO;pudim leite petrogood 450 g;124;276;SOBREMESA
101;BUCHA VEGETAL NATUS PED;ACESSÓRIOS DE BANHO;bucha vegetal natus ped;1;1;ACESSÓRIOS DE BANHO
17794;AGRIAO DIRETO DA SERRA ORG;VERDURAS;agriao direto da serra org;309;309;VERDURAS
5372;ERVA DOCE KININO 20GR .;CONDIMENTO NATURAL;erva doce kinino 20 gr ;79;79;CONDIMENTO NATURAL
16036;COSTELA SUÍNA CONGELADA PERDIGÃO KG;SUÍNO CONGELADO;costela suna congelada perdigo kg;283;48;BOVINO RESFRIADO
10020;LIMP PERFD VEJA AROMA SENSE 500ML ENERGIA;LIMPADOR MULTIUSO;limp perfd veja aroma sense 500 ml energia;176;176;LIMPADOR MULTIUSO
13007;PRESERVATIVO OLLA PROLONG FP C/6;PRESERVATIVO;preservativo olla prolong fp com 6;241;241;PRESERVATIVO
13311;DESUMIDIFICADOR SECAR ORIG FLORAL 180G;PURIFICADOR DE AR;desumidificador secar orig floral 180 g;246;246;PURIFICADOR DE AR
11021;MAC ITAL COLAVITA SPAGHETTI INT 500G;MASSA SECA;mac ital colavita spaghetti int 500 g;193;193;MASSA SECA
10557;BATOM VULT 32;MAQUIAGEM;batom vult 32;189;189;MAQUIAGEM
13358;PAO FRANCES CHAMA MARQUESPAN C/PARMESAO kg;PÃES;pao frances chama marquespan com parmesao kg;247;247;PÃES
15363;SHAMPOO TRANSFORMERS 300ML;SHAMPOO INFANTIL;shampoo transformers 300 ml;274;274;SHAMPOO INFANTIL
13442;PAO SECALE ORG INTEGRAL MULTGRAOS 450G;PÃES;pao secale org integral multgraos 450 g;247;247;PÃES
3822;SAND INF IPANEMA NATURE PTO/PTO;CALÇADO INFANTIL;sand inf ipanema nature ptopto;57;56;CALÇADO ADULTO
6247;DES AERO BIOCREMA SUAVE 100G;DESODORANTE FEMININO;des aero biocrema suave 100 g;98;98;DESODORANTE FEMININO
1355;CAIXETA P/ DOCE VALVES C50 BRANCO;ARTIGOS PARA FESTAS;caixeta para doce valves c50 branco;23;103;DOCE PASTA
5810;MASCR CAB FINA FLOR CACHOS 5 OLEOS 500ML;CREME PARA TRATAMENTO;mascr cab fina flor cachos 5 oleos 500 ml;86;86;CREME PARA TRATAMENTO
18175;VINHO RUHLMANN GEWURZTRAMINER SEL 500ML;VINHO;vinho ruhlmann gewurztraminer sel 500 ml;311;311;VINHO
2756;BROWNIE S/LACT BELIVE 40G-PC CHOC/PROTEIN;BOLOS;brownie sem lact belive 40 g-pc cho com protein;45;45;BOLOS
1682;PROAUTO ODORIZANTE BREEZE SENSATIONS 5ml OCEAN;AUTOMOTIVO ODORIZADOR;proauto odorizante breeze sensations 5 ml ocean;30;30;AUTOMOTIVO ODORIZADOR
9822;LEITE FERM ACTIVIA AMEIXA BJ 600G (V);LEITE FERMENTADO;leite ferm activia ameixa bj 600 g v;169;169;LEITE FERMENTADO
5070;COND ELSEVE OLEO EXT NUTRI 400ML;CONDICIONADOR;cond elseve oleo ext nutri 400 ml;77;77;CONDICIONADOR
8187;GELAT PO ROYAL 25G-EV MOR;GELATINA;gelat po royal 25 g-ev mor;140;140;GELATINA
8962;IOGURTE FRIMESA COCO GFA 850G;IOGURTE;iogurte frimesa coco gfa 850 g;155;155;IOGURTE
6567;DOCE FRUTA OLIVEIRA MORANGO 400G,;DOCE PASTA;doce fruta oliveira morango 400 g;103;103;DOCE PASTA
8434;HAMB BOVINO BRASA BURGUERS GOURMET PICANHA 300G;HAMBÚRGUER;hamb bovino brasa burguers gourmet picanha 300 g;145;145;HAMBÚRGUER
8336;SOJA NATURAL TORRADA S/SAL BENASSI kg;GRÃOS/CEREAIS;soja natural torrada sem sal benassi kg;143;44;BISCOITO
12569;PEIX CONG SARDINHA ESPALM BUONA PESCA 800G -PC;PEIXE EM CONSERVA;peix cong sardinha espalm buona pesca 800 g -pc;227;226;PEIXE CONGELADO
3131;COXAO DURO BOV ELGOLLI (PEDACO) KG;BOVINO RESFRIADO;coxao duro bov elgolli pedaco kg;48;48;BOVINO RESFRIADO
3143;BOLA DE VINIL NA CX GALINHA PINT LIDER;BRINQUEDOS ESPORTES;bola de vinil na cx galinha pint lider;49;49;BRINQUEDOS ESPORTES
3027;FIGADO BOVINO kg;BOVINO RESFRIADO;figado bovino kg;48;48;BOVINO RESFRIADO
6380;DES AERO ALBANY LIBERT MEN 60G;DESODORANTE MASCULINO;des aero albany libert men 60 g;99;99;DESODORANTE MASCULINO
9351;bauru de mussarela;LANCHE PRONTO;bauru de mussarela;161;161;LANCHE PRONTO
6531;DOCE GOSTOSURA 400G LEITE TRADICIONAL;DOCE PASTA;doce gostosura 400 g leite tradicional;103;103;DOCE PASTA
11061;PASTA DE PLASTICO PARA PAPEL A5 NI -DAISO;MATERIAL DE ESCRITÓRIO;pasta de plastico para papel a5 ni -daiso;194;300;UTENSÍLIOS DE PLÁSTICO
7393;MIST BOLO DONA BENTA BROWIE 450G;FARINÁCEO;mist bolo dona benta browie 450 g;124;124;FARINÁCEO
1517;Cera Prot Wax 300G Protelim;AUTOMOTIVO CERA/POLIDOR;cera prot wax 300 g protelim;26;26;AUTOMOTIVO CERA/POLIDOR
6692;INTERRUPTOR NEDO 1TOM PLUG 1TEC 340 .;ELÉTRICA;interruptor nedo 1tom plug 1tec 340 ;105;105;ELÉTRICA
15832;SUCO JANDAIA PRONTO 200ML CAJU;SUCO PRONTO/NECTAR;suco jandaia pronto 200 ml caju;281;281;SUCO PRONTO/NECTAR
4030;BANQUETA ADULTO ALTA PRETA UN .;CAMPING/PESCA;banqueta adulto alta preta un ;59;59;CAMPING/PESCA
13033;PRESUNTO SADIA PARMA 100G-FAT;PRESUNTO;presunto sadia parma 100 g-fat;242;242;PRESUNTO
8609;VELA STEFANI P/ FILTRO DECLORANTE 4011/3;HIDRÁULICA;vela stefani para filtro declorante 40113;149;153;ILUMINAÇÃO
905;AMAC ROUPA ASSIM AMARELO 2L;AMACIANTE;amac roupa assim amarelo 2 l;16;16;AMACIANTE
6660;DOCE PACOCA MISTER MARRO ROLHA 144G;DOCE TABLETE;doce pacoca mister marro rolha 144 g;104;104;DOCE TABLETE
16537;CERA LIQ BRY INCOLOR 5L;TRATAMENTO DE PISO;cera liq bry incolor 5 l;294;294;TRATAMENTO DE PISO
9589;PIMENTAO MIXTO VERDEKAL 200G-PICADO;LEGUMES;pimentao mixto verdekal 200 g-picado;166;166;LEGUMES
7499;MIST PUDIM ROYAL COCO 50G;FARINÁCEO;mist pudim royal coco 50 g;124;124;FARINÁCEO
2060;AZEITONA VERDE C/C SC QUERO 100G;AZEITONA;azeitona verde com c sc quero 100 g;36;36;AZEITONA
5771;MASCR CAB SALON-LINE T-DCACHO ARRASAR 500G;CREME PARA TRATAMENTO;mascr cab salon-line t-dcacho arrasar 500 g;86;86;CREME PARA TRATAMENTO
17365;JARRA DE VIDRO INVICTA 1L;UTENSÍLIOS DE VIDRO;jarra de vidro invicta 1 l;303;303;UTENSÍLIOS DE VIDRO
7774;FRALDA MAMYPOKO REG PQ C/28UN;FRALDA INFANTIL;fralda mamypoko reg pq com 28 un;133;133;FRALDA INFANTIL
1327;VELA INTER 1un CONEXAO AZUL;ARTIGOS PARA FESTAS;vela inter 1 un conexao azul;23;23;ARTIGOS PARA FESTAS
3726;CHINELO HAV ALOHA MARINHO PAR;CALÇADO ADULTO;chinelo hav aloha marinho par;56;56;CALÇADO ADULTO
8715;VELA VIWACE 7DIAS N. SENHORA FATIMA;ILUMINAÇÃO;vela viwace 7dias n senhora fatima;153;153;ILUMINAÇÃO
6428;TALCO AVANTE DESODORANTE 100G TRADICIONAL;DESODORANTE UNISSEX;talco avante desodorante 100 g tradicional;100;100;DESODORANTE UNISSEX
8722;VELA SAO DOMINGOS VOT N S APARECIDA;ILUMINAÇÃO;vela sao domingos vot s aparecida;153;153;ILUMINAÇÃO
12705;JERKED BEEF FRISA PONTA AGULHA 500G;PERTENCES FEIJOADA;jerked beef frisa ponta agulha 500 g;231;231;PERTENCES FEIJOADA
733;SNACK P CAES KELBITS 70G, CALABRESA;ALIMENTO PARA CÃES;snack p caes kelbits 70 g calabresa;12;272;SAUDÁVEL
9107;REGADOR CRIVO COLIBRI AZUL 6L;JARDINAGEM CUIDAR;regador crivo colibri azul 6 l;156;156;JARDINAGEM CUIDAR
12486;PAPEL DE PRESENTE 50X60 C 2 FLS;PAPELARIA;papel de presente 50x60 2 fls;224;224;PAPELARIA
1662;DESODORIZA AROMA 60G;AUTOMOTIVO ODORIZADOR;desodoriza aroma 60 g;30;46;BOMBONIERE
1677;ODORIZ GEL ULTRA FRESH 60G, LAVANDA;AUTOMOTIVO ODORIZADOR;odoriz gel ultra fresh 60 g lavanda;30;30;AUTOMOTIVO ODORIZADOR
17662;VASO ACASA R CERAM AZ 486S;VASOS;vaso acasa r ceram az 486s;305;305;VASOS
10181;AGUA MICELAR NIVEA 400ML BIFAS;LIMPEZA DO ROSTO;agua micelar nivea 400 ml bifas;178;178;LIMPEZA DO ROSTO
13593;QUEIJO MUSS BANDEIRA KG LANCHE;QUEIJO;queijo muss bandeira kg lanche;250;250;QUEIJO
8384;MIX GLACEADO NUTTY EXPRESS 50G MIX NUTTY;GRÃOS/CEREAIS;mix glaceado nutty express 50 g mix nutty;143;143;GRÃOS/CEREAIS
3718;SANDALIA MORMAII GRAPHICS PT/BC 37X38;CALÇADO ADULTO;sandalia mormaii graphics ptbc 37x38;56;56;CALÇADO ADULTO
14372;MOUSSE BANHO NIVEA 200ML-SPR VANILLA;SABONETE LÍQUIDO;mousse banho nivea 200 ml-spr vanilla;261;261;SABONETE LÍQUIDO
10635;BATOM MAYBELLINE STAY FOREVER 115;MAQUIAGEM;batom maybelline stay forever 115;189;189;MAQUIAGEM
1162;ARROZ TIO JOAO VAR MUNDIAL 1KG TAIL;ARROZ;arroz tio joao var mundial 1 kg tail;22;22;ARROZ
12474;PACKLIX BARBANTE CORES;PAPELARIA;packlix barbante cores;224;224;PAPELARIA
8688;SABONETE GLICERINADO 75g PROCAO ACAI;HIGIENE/LIMPEZA PET SHOP;sabonete glicerinado 75 g procao acai;152;152;HIGIENE/LIMPEZA PET SHOP
5778;CREME TRAT NEUTROX XTREME 1KG;CREME PARA TRATAMENTO;creme trat neutrox xtreme 1 kg;86;86;CREME PARA TRATAMENTO
18348;AGUA FARMAX OX 70ml;ÁGUA OXIGENADA;agua farmax ox 70 ml;316;316;ÁGUA OXIGENADA
3549;SANDALIA HAVAIANAS DYNAMIC BCO 39/40;CALÇADO ADULTO;sandalia havaianas dynamic bco 3940;56;56;CALÇADO ADULTO
6937;ESC DENT BAS TEK DURA;ESCOVA DENTAL ADULTO;esc dent bas tek dura;112;112;ESCOVA DENTAL ADULTO
17009;SHAKEIRA PLASUTIL 580ML THOR;UTENSÍLIOS DE PLÁSTICO;shakeira plasutil 580 ml thor;300;300;UTENSÍLIOS DE PLÁSTICO
2054;AZEITONA PTA (ARG) LA PASTINA 200G. INT.;AZEITONA;azeitona pta arg la pastina 200 g int;36;36;AZEITONA
2281;JG TOALHA ACASA C/2 VN 715;BANHO;jg toalha acasa com 2 vn 715;39;39;BANHO
13757;QUEIJO TIPO BRIE QUATA KG;QUEIJO;queijo tipo brie quata kg;250;250;QUEIJO
477;COLEIRA BAW WAW S FORRADA N.4;ACESSÓRIOS PET;coleira baw waw s forrada n4;7;7;ACESSÓRIOS PET
15889;SUCO FUNC LIFE MIX KIDS 200ML UVA;SUCO PRONTO/NECTAR;suco func life mix kids 200 ml uva;281;281;SUCO PRONTO/NECTAR
13513;PAO THABRULAI BATATA PCT 350G;PÃES;pao thabrulai batata pct 350 g;247;247;PÃES
11937;PASCOA MINI OVO GAROTO SACOLA 35G;OVO DE PÁSCOA;pascoa mini ovo garoto sacola 35 g;216;216;OVO DE PÁSCOA
6352;DESO ROLL-ON GIOVANNA BABY MEN URBAN 50ML;DESODORANTE MASCULINO;deso roll-on giovanna baby men urban 50 ml;99;100;DESODORANTE UNISSEX
17570;GARRAFA TERM INVICTA GLT LISA PRESSAO 1L;UTENSÍLIOS PARA CAFÉ;garrafa term invicta glt lisa pressao 1 l;304;304;UTENSÍLIOS PARA CAFÉ
8949;SOBREM CHANDELLE 720G-PACK LV8 PG7 CHOC;IOGURTE;sobrem chandelle 720 g-pack lv8 pg7 choc;155;46;BOMBONIERE
11899;CAIXA KREA ORG 4.5L 11PV18;ORGANIZADOR;caixa krea org 45 l 11pv18;215;215;ORGANIZADOR
6308;DES AER REXONA 90G MASC. ANTIBACT;DESODORANTE MASCULINO;des aer rexona 90 g masc antibact;99;99;DESODORANTE MASCULINO
9976;LIMP BANH HARPIC MACA VERDE 500ML;LIMPADOR BANHEIRO MULTIUSO;limp banh harpic maca verde 500 ml;175;175;LIMPADOR BANHEIRO MULTIUSO
6924;ESC DENT BAS KESS PERFECT MESC SMM 1UN;ESCOVA DENTAL ADULTO;esc dent bas kess perfect mesc smm 1 un;112;112;ESCOVA DENTAL ADULTO
5760;CR TRAT NOVEX MIX SUPER DETOX 1KG;CREME PARA TRATAMENTO;cr trat novex mix super detox 1 kg;86;86;CREME PARA TRATAMENTO
3600;SAND (f) HAVAIANAS FNT ASTR 39/40 BGE PA;CALÇADO ADULTO;sand f havaianas fnt astr 3940 bge pa;56;56;CALÇADO ADULTO
5112;COND GOTA DOURADA ANTI DANOS 430ML;CONDICIONADOR;cond gota dourada anti danos 430 ml;77;77;CONDICIONADOR
16818;PORTA FACAS ACASA E BAMBU G10-SH021;UTENSÍLIOS DE MADEIRA;porta facas acasa e bambu g10-sh021;297;297;UTENSÍLIOS DE MADEIRA
6431;KIT DESO AERO GIOVANNA BABY CLASS 150ML C/2 50%DESC;DESODORANTE UNISSEX;kit deso aero giovanna baby class 150 ml com 2 50desc;100;100;DESODORANTE UNISSEX
4191;CERV SKOL PURO 600ml;CERVEJA;cerv skol puro 600 ml;63;63;CERVEJA
15942;SUCO SUPERBOM 100% 200ML MANGA/MACA;SUCO PRONTO/NECTAR;suco superbom 100 200 ml mangamaca;281;281;SUCO PRONTO/NECTAR
18273;AGUA AROMATIZADA SMELL CHERRY BLOS 500ML;ÁGUA MINERAL;agua aromatizada smell cherry blos 500 ml;315;315;ÁGUA MINERAL
5171;COND DOVE CONTROLE QUEDA 400ML;CONDICIONADOR;cond dove controle queda 400 ml;77;77;CONDICIONADOR
15790;SUCO NATURAL ONE LARANJA GFA 1.5L;SUCO NATURAL;suco natural one laranja gfa 15 l;280;281;SUCO PRONTO/NECTAR
12128;PALMITO MIOLO REAL ORGANICO VD 300G;PALMITO;palmito miolo real organico vd 300 g;218;218;PALMITO
12419;PH FS SUBLIME BUQUE FLORES 4X30M;PAPEL HIGIÊNICO;ph fs sublime buque flores 4x30m;222;222;PAPEL HIGIÊNICO
4328;KIT CHAMPAGNE VEUVE CLICQUOT TRUNK BRUT 750ML;CHAMPAGNE;kit champagne veuve clicquot trunk brut 750 ml;64;64;CHAMPAGNE
314;ESC CABELO DARMA OVAL C/2 REF 186;ACESSÓRIOS PARA CABELO;esc cabelo darma oval com 2 ref 186;6;6;ACESSÓRIOS PARA CABELO
5252;COND PANTENE CAB.TINGIDOS 200ML;CONDICIONADOR;cond pantene cabtingidos 200 ml;77;77;CONDICIONADOR
2709;BOLO ANA MARIA 70G, BAUN/CHOC;BOLOS;bolo ana maria 70 g baunchoc;45;45;BOLOS
9806;LEITE FERM BATAVITO TP 160GR TRADICIONAL;LEITE FERMENTADO;leite ferm batavito tp 160 gr tradicional;169;169;LEITE FERMENTADO
17015;BACIA PLAST PLASVALE 5L-UN VDE;UTENSÍLIOS DE PLÁSTICO;bacia plast plasvale 5 l-un vde;300;300;UTENSÍLIOS DE PLÁSTICO
10809;MASSA FR NHOQUE FAMILIA SAVASSI 500G BJ BATATA;MASSA FRESCA;massa fr nhoque familia savassi 500 g bj batata;191;191;MASSA FRESCA
638;RACAO CAO DOGCHOW RC PEQ 1KG-PC ADUL;ALIMENTO PARA CÃES;racao cao dogchow rc peq 1 kg-pc adul;12;12;ALIMENTO PARA CÃES
12829;MUDA THUIA HOLANDESA PT-14;PLANTAS, FLORES E ACESSÓRIOS;muda thuia holandesa pt-14;234;234;PLANTAS, FLORES E ACESSÓRIOS
10268;DESOD SANIT HARPIC GEL LAVANDA 2,5G C/1;LIMPEZA SANITÁRIA;desod sanit harpic gel lavanda 25 g com 1;180;180;LIMPEZA SANITÁRIA
3356;CAFE PIMPINELA TRADICIONAL 250G;CAFÉ;cafe pimpinela tradicional 250 g;54;54;CAFÉ
3;ABS C/ABAS ALWAYS BASICO SUAVE C/16;ABSORVENTE;abs com abas always basico suave com 16;0;0;ABSORVENTE
10742;RAVIOLI TIA NORA 4 QUEIJOS PCT 400G;MASSA FRESCA;ravioli tia nora 4 queijos pct 400 g;191;191;MASSA FRESCA
14115;REQUEIJAO BIANCO LATTE CREM BUFALA 190G;REQUEIJÃO;requeijao bianco latte crem bufala 190 g;256;256;REQUEIJÃO
9730;BATATA COAL 1kg .;LEGUMES;batata coal 1 kg ;166;307;VEGETAL CONGELADO
10206;LIMP PESADA VEJA ORIGINAL 500ML 10% DESC;LIMPEZA PESADA;limp pesada veja original 500 ml 10 desc;179;179;LIMPEZA PESADA
13208;ANTIMOFO FENOMENO 25G .;PURIFICADOR DE AR;antimofo fenomeno 25 g ;246;189;MAQUIAGEM
16730;CJ TALHER TRAMONTINA POLLYW 24P 21199705;UTENSÍLIOS DE INOX/ALUMÍNIO;cj talher tramontina pollyw 24p 21199705;296;296;UTENSÍLIOS DE INOX/ALUMÍNIO
17217;TIGELA PEQUENA 600ml 16cm OXFORD AB37 0806;UTENSÍLIOS DE PORCELANA/CERÂMICA;tigela pequena 600 ml 16 cm oxford ab37 0806;301;301;UTENSÍLIOS DE PORCELANA/CERÂMICA
16549;CERA LIQ SOLIDOL LIG AMARELO 5L;TRATAMENTO DE PISO;cera liq solidol lig amarelo 5 l;294;294;TRATAMENTO DE PISO
17236;CUMBUCA MONDO CERAM 1,5L VERMELHO;UTENSÍLIOS DE PORCELANA/CERÂMICA;cumbuca mondo ceram 15 l vermelho;301;301;UTENSÍLIOS DE PORCELANA/CERÂMICA
5959;Creme Para as Mãos Piatan Hidrata 50g SEM PARABENOS;CREME/ÓLEO MÃO E PÉ;creme para as mos piatan hidrata 50 g sem parabenos;90;90;CREME/ÓLEO MÃO E PÉ
5484;CONFEITO DISQUETI CHOC BCO 80G;CONFEITOS;confeito disqueti choc bco 80 g;80;80;CONFEITOS
11457;MOLHO PEIXE ALHO 200ML;MOLHO DE ALHO;molho peixe alho 200 ml;204;204;MOLHO DE ALHO
4406;CARVAO SERTANEJO 4KG;CHURRASCO;carvao sertanejo 4 kg;66;66;CHURRASCO
15580;SORVETE PICOLE KIBON MAGNUM CLASSICO 100ML;SORVETE;sorvete picole kibon magnum classico 100 ml;278;278;SORVETE
16147;CELULAR SAMSUNG A8 PLUS AM SM-A730FZV;TELEFONIA;celular samsung a8 plus am sm-a730fzv;286;286;TELEFONIA
