index;nome_produto;categoria;pred_encode;categoria_pred
11098;CADERNO MAX UNIV 10X1 200FLS, MAXICARS;MATERIAL ESCOLAR;195;MATERIAL ESCOLAR
4090;TAPETE TRANCADO 43X60CM;CAPACHOS E TAPETES;58;CAMA
7130;ESM COLORAMA CASTANHA 8ML;ESMALTE;116;ESMALTE
5046;SHITAKE DASHI 48G;COMIDA ORIENTAL;273;SHAMPOO
7486;PUDIM LEITE PETROGOOD 450G;FARINÁCEO;124;FARINÁCEO
101;BUCHA VEGETAL NATUS PED;ACESSÓRIOS DE BANHO;133;FRALDA INFANTIL
17794;AGRIAO DIRETO DA SERRA ORG;VERDURAS;309;VERDURAS
5372;ERVA DOCE KININO 20GR .;CONDIMENTO NATURAL;79;CONDIMENTO NATURAL
16036;COSTELA SUÍNA CONGELADA PERDIGÃO KG;SUÍNO CONGELADO;48;BOVINO RESFRIADO
10020;LIMP PERFD VEJA AROMA SENSE 500ML ENERGIA;LIMPADOR MULTIUSO;176;LIMPADOR MULTIUSO
13007;PRESERVATIVO OLLA PROLONG FP C/6;PRESERVATIVO;189;MAQUIAGEM
13311;DESUMIDIFICADOR SECAR ORIG FLORAL 180G;PURIFICADOR DE AR;97;DESINFETANTE
11021;MAC ITAL COLAVITA SPAGHETTI INT 500G;MASSA SECA;193;MASSA SECA
10557;BATOM VULT 32;MAQUIAGEM;189;MAQUIAGEM
13358;PAO FRANCES CHAMA MARQUESPAN C/PARMESAO kg;PÃES;247;PÃES
15363;SHAMPOO TRANSFORMERS 300ML;SHAMPOO INFANTIL;273;SHAMPOO
13442;PAO SECALE ORG INTEGRAL MULTGRAOS 450G;PÃES;247;PÃES
3822;SAND INF IPANEMA NATURE PTO/PTO;CALÇADO INFANTIL;56;CALÇADO ADULTO
6247;DES AERO BIOCREMA SUAVE 100G;DESODORANTE FEMININO;98;DESODORANTE FEMININO
1355;CAIXETA P/ DOCE VALVES C50 BRANCO;ARTIGOS PARA FESTAS;301;UTENSÍLIOS DE PORCELANA/CERÂMICA
5810;MASCR CAB FINA FLOR CACHOS 5 OLEOS 500ML;CREME PARA TRATAMENTO;86;CREME PARA TRATAMENTO
18175;VINHO RUHLMANN GEWURZTRAMINER SEL 500ML;VINHO;311;VINHO
2756;BROWNIE S/LACT BELIVE 40G-PC CHOC/PROTEIN;BOLOS;45;BOLOS
1682;PROAUTO ODORIZANTE BREEZE SENSATIONS 5ml OCEAN;AUTOMOTIVO ODORIZADOR;246;PURIFICADOR DE AR
9822;LEITE FERM ACTIVIA AMEIXA BJ 600G (V);LEITE FERMENTADO;169;LEITE FERMENTADO
5070;COND ELSEVE OLEO EXT NUTRI 400ML;CONDICIONADOR;77;CONDICIONADOR
8187;GELAT PO ROYAL 25G-EV MOR;GELATINA;278;SORVETE
8962;IOGURTE FRIMESA COCO GFA 850G;IOGURTE;155;IOGURTE
6567;DOCE FRUTA OLIVEIRA MORANGO 400G,;DOCE PASTA;103;DOCE PASTA
8434;HAMB BOVINO BRASA BURGUERS GOURMET PICANHA 300G;HAMBÚRGUER;145;HAMBÚRGUER
8336;SOJA NATURAL TORRADA S/SAL BENASSI kg;GRÃOS/CEREAIS;269;SALGADINHO E APERITIVO
12569;PEIX CONG SARDINHA ESPALM BUONA PESCA 800G -PC;PEIXE EM CONSERVA;216;OVO DE PÁSCOA
3131;COXAO DURO BOV ELGOLLI (PEDACO) KG;BOVINO RESFRIADO;48;BOVINO RESFRIADO
3143;BOLA DE VINIL NA CX GALINHA PINT LIDER;BRINQUEDOS ESPORTES;12;ALIMENTO PARA CÃES
3027;FIGADO BOVINO kg;BOVINO RESFRIADO;309;VERDURAS
6380;DES AERO ALBANY LIBERT MEN 60G;DESODORANTE MASCULINO;98;DESODORANTE FEMININO
9351;bauru de mussarela;LANCHE PRONTO;247;PÃES
6531;DOCE GOSTOSURA 400G LEITE TRADICIONAL;DOCE PASTA;103;DOCE PASTA
11061;PASTA DE PLASTICO PARA PAPEL A5 NI -DAISO;MATERIAL DE ESCRITÓRIO;195;MATERIAL ESCOLAR
7393;MIST BOLO DONA BENTA BROWIE 450G;FARINÁCEO;124;FARINÁCEO
1517;Cera Prot Wax 300G Protelim;AUTOMOTIVO CERA/POLIDOR;294;TRATAMENTO DE PISO
6692;INTERRUPTOR NEDO 1TOM PLUG 1TEC 340 .;ELÉTRICA;25;AUTOMOTIVO ACESSÓRIOS
15832;SUCO JANDAIA PRONTO 200ML CAJU;SUCO PRONTO/NECTAR;281;SUCO PRONTO/NECTAR
4030;BANQUETA ADULTO ALTA PRETA UN .;CAMPING/PESCA;133;FRALDA INFANTIL
13033;PRESUNTO SADIA PARMA 100G-FAT;PRESUNTO;216;OVO DE PÁSCOA
8609;VELA STEFANI P/ FILTRO DECLORANTE 4011/3;HIDRÁULICA;153;ILUMINAÇÃO
905;AMAC ROUPA ASSIM AMARELO 2L;AMACIANTE;16;AMACIANTE
6660;DOCE PACOCA MISTER MARRO ROLHA 144G;DOCE TABLETE;103;DOCE PASTA
16537;CERA LIQ BRY INCOLOR 5L;TRATAMENTO DE PISO;294;TRATAMENTO DE PISO
9589;PIMENTAO MIXTO VERDEKAL 200G-PICADO;LEGUMES;79;CONDIMENTO NATURAL
7499;MIST PUDIM ROYAL COCO 50G;FARINÁCEO;124;FARINÁCEO
2060;AZEITONA VERDE C/C SC QUERO 100G;AZEITONA;36;AZEITONA
5771;MASCR CAB SALON-LINE T-DCACHO ARRASAR 500G;CREME PARA TRATAMENTO;86;CREME PARA TRATAMENTO
17365;JARRA DE VIDRO INVICTA 1L;UTENSÍLIOS DE VIDRO;303;UTENSÍLIOS DE VIDRO
7774;FRALDA MAMYPOKO REG PQ C/28UN;FRALDA INFANTIL;133;FRALDA INFANTIL
1327;VELA INTER 1un CONEXAO AZUL;ARTIGOS PARA FESTAS;23;ARTIGOS PARA FESTAS
3726;CHINELO HAV ALOHA MARINHO PAR;CALÇADO ADULTO;56;CALÇADO ADULTO
8715;VELA VIWACE 7DIAS N. SENHORA FATIMA;ILUMINAÇÃO;153;ILUMINAÇÃO
6428;TALCO AVANTE DESODORANTE 100G TRADICIONAL;DESODORANTE UNISSEX;205;MOLHO DE PIMENTA
8722;VELA SAO DOMINGOS VOT N S APARECIDA;ILUMINAÇÃO;153;ILUMINAÇÃO
12705;JERKED BEEF FRISA PONTA AGULHA 500G;PERTENCES FEIJOADA;46;BOMBONIERE
733;SNACK P CAES KELBITS 70G, CALABRESA;ALIMENTO PARA CÃES;272;SAUDÁVEL
9107;REGADOR CRIVO COLIBRI AZUL 6L;JARDINAGEM CUIDAR;246;PURIFICADOR DE AR
12486;PAPEL DE PRESENTE 50X60 C 2 FLS;PAPELARIA;195;MATERIAL ESCOLAR
1662;DESODORIZA AROMA 60G;AUTOMOTIVO ODORIZADOR;97;DESINFETANTE
1677;ODORIZ GEL ULTRA FRESH 60G, LAVANDA;AUTOMOTIVO ODORIZADOR;246;PURIFICADOR DE AR
17662;VASO ACASA R CERAM AZ 486S;VASOS;157;JARDINAGEM PLANTAR
10181;AGUA MICELAR NIVEA 400ML BIFAS;LIMPEZA DO ROSTO;315;ÁGUA MINERAL
13593;QUEIJO MUSS BANDEIRA KG LANCHE;QUEIJO;250;QUEIJO
8384;MIX GLACEADO NUTTY EXPRESS 50G MIX NUTTY;GRÃOS/CEREAIS;269;SALGADINHO E APERITIVO
3718;SANDALIA MORMAII GRAPHICS PT/BC 37X38;CALÇADO ADULTO;56;CALÇADO ADULTO
14372;MOUSSE BANHO NIVEA 200ML-SPR VANILLA;SABONETE LÍQUIDO;273;SHAMPOO
10635;BATOM MAYBELLINE STAY FOREVER 115;MAQUIAGEM;189;MAQUIAGEM
1162;ARROZ TIO JOAO VAR MUNDIAL 1KG TAIL;ARROZ;22;ARROZ
12474;PACKLIX BARBANTE CORES;PAPELARIA;58;CAMA
8688;SABONETE GLICERINADO 75g PROCAO ACAI;HIGIENE/LIMPEZA PET SHOP;259;SABONETE BARRA
5778;CREME TRAT NEUTROX XTREME 1KG;CREME PARA TRATAMENTO;86;CREME PARA TRATAMENTO
18348;AGUA FARMAX OX 70ml;ÁGUA OXIGENADA;315;ÁGUA MINERAL
3549;SANDALIA HAVAIANAS DYNAMIC BCO 39/40;CALÇADO ADULTO;56;CALÇADO ADULTO
6937;ESC DENT BAS TEK DURA;ESCOVA DENTAL ADULTO;112;ESCOVA DENTAL ADULTO
17009;SHAKEIRA PLASUTIL 580ML THOR;UTENSÍLIOS DE PLÁSTICO;273;SHAMPOO
2054;AZEITONA PTA (ARG) LA PASTINA 200G. INT.;AZEITONA;36;AZEITONA
2281;JG TOALHA ACASA C/2 VN 715;BANHO;39;BANHO
13757;QUEIJO TIPO BRIE QUATA KG;QUEIJO;250;QUEIJO
477;COLEIRA BAW WAW S FORRADA N.4;ACESSÓRIOS PET;12;ALIMENTO PARA CÃES
15889;SUCO FUNC LIFE MIX KIDS 200ML UVA;SUCO PRONTO/NECTAR;281;SUCO PRONTO/NECTAR
13513;PAO THABRULAI BATATA PCT 350G;PÃES;247;PÃES
11937;PASCOA MINI OVO GAROTO SACOLA 35G;OVO DE PÁSCOA;216;OVO DE PÁSCOA
6352;DESO ROLL-ON GIOVANNA BABY MEN URBAN 50ML;DESODORANTE MASCULINO;98;DESODORANTE FEMININO
17570;GARRAFA TERM INVICTA GLT LISA PRESSAO 1L;UTENSÍLIOS PARA CAFÉ;300;UTENSÍLIOS DE PLÁSTICO
8949;SOBREM CHANDELLE 720G-PACK LV8 PG7 CHOC;IOGURTE;193;MASSA SECA
11899;CAIXA KREA ORG 4.5L 11PV18;ORGANIZADOR;215;ORGANIZADOR
6308;DES AER REXONA 90G MASC. ANTIBACT;DESODORANTE MASCULINO;98;DESODORANTE FEMININO
9976;LIMP BANH HARPIC MACA VERDE 500ML;LIMPADOR BANHEIRO MULTIUSO;176;LIMPADOR MULTIUSO
6924;ESC DENT BAS KESS PERFECT MESC SMM 1UN;ESCOVA DENTAL ADULTO;112;ESCOVA DENTAL ADULTO
5760;CR TRAT NOVEX MIX SUPER DETOX 1KG;CREME PARA TRATAMENTO;86;CREME PARA TRATAMENTO
3600;SAND (f) HAVAIANAS FNT ASTR 39/40 BGE PA;CALÇADO ADULTO;56;CALÇADO ADULTO
5112;COND GOTA DOURADA ANTI DANOS 430ML;CONDICIONADOR;77;CONDICIONADOR
16818;PORTA FACAS ACASA E BAMBU G10-SH021;UTENSÍLIOS DE MADEIRA;296;UTENSÍLIOS DE INOX/ALUMÍNIO
6431;KIT DESO AERO GIOVANNA BABY CLASS 150ML C/2 50%DESC;DESODORANTE UNISSEX;98;DESODORANTE FEMININO
4191;CERV SKOL PURO 600ml;CERVEJA;63;CERVEJA
15942;SUCO SUPERBOM 100% 200ML MANGA/MACA;SUCO PRONTO/NECTAR;281;SUCO PRONTO/NECTAR
18273;AGUA AROMATIZADA SMELL CHERRY BLOS 500ML;ÁGUA MINERAL;315;ÁGUA MINERAL
5171;COND DOVE CONTROLE QUEDA 400ML;CONDICIONADOR;77;CONDICIONADOR
15790;SUCO NATURAL ONE LARANJA GFA 1.5L;SUCO NATURAL;281;SUCO PRONTO/NECTAR
12128;PALMITO MIOLO REAL ORGANICO VD 300G;PALMITO;218;PALMITO
12419;PH FS SUBLIME BUQUE FLORES 4X30M;PAPEL HIGIÊNICO;222;PAPEL HIGIÊNICO
4328;KIT CHAMPAGNE VEUVE CLICQUOT TRUNK BRUT 750ML;CHAMPAGNE;311;VINHO
314;ESC CABELO DARMA OVAL C/2 REF 186;ACESSÓRIOS PARA CABELO;6;ACESSÓRIOS PARA CABELO
5252;COND PANTENE CAB.TINGIDOS 200ML;CONDICIONADOR;77;CONDICIONADOR
2709;BOLO ANA MARIA 70G, BAUN/CHOC;BOLOS;45;BOLOS
9806;LEITE FERM BATAVITO TP 160GR TRADICIONAL;LEITE FERMENTADO;171;LEITE UHT
17015;BACIA PLAST PLASVALE 5L-UN VDE;UTENSÍLIOS DE PLÁSTICO;300;UTENSÍLIOS DE PLÁSTICO
10809;MASSA FR NHOQUE FAMILIA SAVASSI 500G BJ BATATA;MASSA FRESCA;191;MASSA FRESCA
638;RACAO CAO DOGCHOW RC PEQ 1KG-PC ADUL;ALIMENTO PARA CÃES;12;ALIMENTO PARA CÃES
12829;MUDA THUIA HOLANDESA PT-14;PLANTAS, FLORES E ACESSÓRIOS;309;VERDURAS
10268;DESOD SANIT HARPIC GEL LAVANDA 2,5G C/1;LIMPEZA SANITÁRIA;180;LIMPEZA SANITÁRIA
3356;CAFE PIMPINELA TRADICIONAL 250G;CAFÉ;54;CAFÉ
3;ABS C/ABAS ALWAYS BASICO SUAVE C/16;ABSORVENTE;0;ABSORVENTE
10742;RAVIOLI TIA NORA 4 QUEIJOS PCT 400G;MASSA FRESCA;250;QUEIJO
14115;REQUEIJAO BIANCO LATTE CREM BUFALA 190G;REQUEIJÃO;256;REQUEIJÃO
9730;BATATA COAL 1kg .;LEGUMES;166;LEGUMES
10206;LIMP PESADA VEJA ORIGINAL 500ML 10% DESC;LIMPEZA PESADA;176;LIMPADOR MULTIUSO
13208;ANTIMOFO FENOMENO 25G .;PURIFICADOR DE AR;246;PURIFICADOR DE AR
16730;CJ TALHER TRAMONTINA POLLYW 24P 21199705;UTENSÍLIOS DE INOX/ALUMÍNIO;296;UTENSÍLIOS DE INOX/ALUMÍNIO
17217;TIGELA PEQUENA 600ml 16cm OXFORD AB37 0806;UTENSÍLIOS DE PORCELANA/CERÂMICA;303;UTENSÍLIOS DE VIDRO
16549;CERA LIQ SOLIDOL LIG AMARELO 5L;TRATAMENTO DE PISO;294;TRATAMENTO DE PISO
17236;CUMBUCA MONDO CERAM 1,5L VERMELHO;UTENSÍLIOS DE PORCELANA/CERÂMICA;303;UTENSÍLIOS DE VIDRO
5959;Creme Para as Mãos Piatan Hidrata 50g SEM PARABENOS;CREME/ÓLEO MÃO E PÉ;147;HIDRATAÇÃO PARA O CORPO
5484;CONFEITO DISQUETI CHOC BCO 80G;CONFEITOS;275;SIDRA/ESPUMANTE
11457;MOLHO PEIXE ALHO 200ML;MOLHO DE ALHO;205;MOLHO DE PIMENTA
4406;CARVAO SERTANEJO 4KG;CHURRASCO;133;FRALDA INFANTIL
15580;SORVETE PICOLE KIBON MAGNUM CLASSICO 100ML;SORVETE;278;SORVETE
16147;CELULAR SAMSUNG A8 PLUS AM SM-A730FZV;TELEFONIA;286;TELEFONIA
8307;GELEIA MOCOTO PREZUNIC 180, FRAMBOESA;GELÉIA DE MOCOTÓ;141;GELÉIA
10651;PO COMPACTO MAYB PURE MAKE UP ARE NAT BL;MAQUIAGEM;189;MAQUIAGEM
15493;ESPUMANTE BOSSA Nº6 BELLINI 750ML;SIDRA/ESPUMANTE;275;SIDRA/ESPUMANTE
6966;ESC DENTAL KESS STEPS 1 INFANTIL;ESCOVA DENTAL INFANTIL;112;ESCOVA DENTAL ADULTO
5703;CR TRAT SKALA 18 ELEMENTOS/ARGININA 1KG;CREME PARA TRATAMENTO;86;CREME PARA TRATAMENTO
826;ALIM GATOS PITUKATS CARNE 500G;ALIMENTO PARA GATOS;12;ALIMENTO PARA CÃES
13452;PAO BLANCO SCHAR S/GLUTEN PCT 200G;PÃES;247;PÃES
836;CAPA ALMOFADA ACASA M PO PT/BC 4545 J945;ALMOFADAS;14;ALMOFADAS
10185;LENCO LIMPZ FAC NIVEA EXPERT 20UN MICELAR;LIMPEZA DO ROSTO;265;SACOS
2440;BEBIDA MISTA 275ml PM SPRITZ;BEBIDA MISTA;253;REFRIGERANTES
17515;GARRAFA TERMICA PRESSAO NOBILE 1L;UTENSÍLIOS PARA CAFÉ;300;UTENSÍLIOS DE PLÁSTICO
9423;LAVA LOUCA GEL ECOBRIL MAR ALECR RF 500ML;LAVA LOUÇA;163;LAVA LOUÇA
10047;LIMPA TUDO TUFF STUFF 300ML;LIMPADOR MULTIUSO;176;LIMPADOR MULTIUSO
5847;CREME DENTAL PARODONTAX WHITENING 50G;CREME/GEL DENTAL ADULTO;87;CREME/GEL DENTAL ADULTO
6095;LIMPA FORNO UAU 200ML;DESENGORDURANTE;246;PURIFICADOR DE AR
9639;PIMENTAO VRM VERDEKAL 200G-PICADO;LEGUMES;79;CONDIMENTO NATURAL
10063;LIMP PERF RENOVAR CARINHO 1L;LIMPADOR MULTIUSO;176;LIMPADOR MULTIUSO
13089;ANTHELIOS XL FPS70 LRP LA ROCHE 120ML;PROTETOR SOLAR CORPORAL;77;CONDICIONADOR
4391;ESPETO XPETO PORTATIL 220V 006;CHURRASCO;296;UTENSÍLIOS DE INOX/ALUMÍNIO
17335;POTE HERMETICO RET LOCK&STOCK 1.7L;UTENSÍLIOS DE VIDRO;303;UTENSÍLIOS DE VIDRO
12859;LIMPA ALUM BRILHO KIM NATURAL 500ML;POLIDOR;246;PURIFICADOR DE AR
13930;GRAPETTINHO FRAMBOESA 290ML;REFRIGERANTES;281;SUCO PRONTO/NECTAR
17781;SALVIA DEVILE 15G;VERDURAS;79;CONDIMENTO NATURAL
14825;BATATA PALHA 120g SLIGHT EXTRA FINA;SALGADINHO E APERITIVO;269;SALGADINHO E APERITIVO
12070;OVO TONON BCO GDE C/12 (POLPA);OVOS;216;OVO DE PÁSCOA
15595;SORVETE LACTA LAKA 1,5L;SORVETE;278;SORVETE
5884;CR DENT CREME COLGATE TOTAL 12 90G LV12 PG10 CLEAN MINT;CREME/GEL DENTAL ADULTO;87;CREME/GEL DENTAL ADULTO
11091;CANETA BIC CRISTAL C 4 AZUL;MATERIAL ESCOLAR;195;MATERIAL ESCOLAR
14360;SAB LIQ FACIAL NIVEA 150ML;SABONETE LÍQUIDO;261;SABONETE LÍQUIDO
12213;PANETTONE DI LUCCA CHOC 400G;PANETONE;219;PANETONE
15214;SH NIELY GOLD TURB 9 OLEO POD DIVA 300ML;SHAMPOO;273;SHAMPOO
1944;AZEITE OLIVA IBERO EXTRA VIRG GFA 1L;AZEITE;35;AZEITE
11864;CAIXA ORG OU P CO410;ORGANIZADOR;301;UTENSÍLIOS DE PORCELANA/CERÂMICA
7050;ESM COLORAMA PETALA BCA 1UN-SM;ESMALTE;116;ESMALTE
11634;MOLHO ARRUDA 150ML SHOYO .;MOLHO SHOYU;205;MOLHO DE PIMENTA
8510;PROFUSE ESSENCELE FILLER C ACHE 30G;HIDRATAÇÃO PARA O CORPO;77;CONDICIONADOR
3086;BIFE PALETA FRIBOI kg BORBOLETA BJ .;BOVINO RESFRIADO;48;BOVINO RESFRIADO
4736;T.IMEDIA EXC.KIT LV2 DESC.40% 7 LOU.NAT;COLORAÇÃO FEMININA;74;COLORAÇÃO FEMININA
12960;PORTA SAB LIQ COZA R CUBE RS 20878;PORTA SABONETE;163;LAVA LOUÇA
1310;VELA ROMANA N 8 BRANCA;ARTIGOS PARA FESTAS;153;ILUMINAÇÃO
10614;BATOM LIQ PAYOT BOCA ROSA VINTAGE 4G;MAQUIAGEM;189;MAQUIAGEM
1279;VELA ROMANA SUPER N 6 ROSA;ARTIGOS PARA FESTAS;23;ARTIGOS PARA FESTAS
17332;JARRA TULIPA CRISTAL TRITEC REF 2232;UTENSÍLIOS DE VIDRO;303;UTENSÍLIOS DE VIDRO
7519;FEIJAO FRADINHO ROSALITO 1KG;FEIJÃO;125;FEIJÃO
17691;BATATA CONG 2kg MCCAIN 5X1;VEGETAL CONGELADO;269;SALGADINHO E APERITIVO
15058;Quinoa em Grãos 150gr Oner;SAUDÁVEL;272;SAUDÁVEL
4382;MINI PALITO SILVER PLASTIC C/100 PRATA;CHURRASCO;296;UTENSÍLIOS DE INOX/ALUMÍNIO
11664;MORTADELA SEARA PESO;MORTADELA;309;VERDURAS
10067;LIMP PERF MAXIMUS PEROLA C/ALCOOL 5L;LIMPADOR MULTIUSO;176;LIMPADOR MULTIUSO
17250;CANECA CASA R POAA007RS;UTENSÍLIOS DE PORCELANA/CERÂMICA;301;UTENSÍLIOS DE PORCELANA/CERÂMICA
17057;BALDE P/MOP ALKLIN 15L UN;UTENSÍLIOS DE PLÁSTICO;300;UTENSÍLIOS DE PLÁSTICO
16494;ALISANTE ORIGEM NOW COLOR PRETO;TRANSFORMAÇÃO CABELOS;189;MAQUIAGEM
16754;FRIGID FRANCESA FRANCE FLON 16;UTENSÍLIOS DE INOX/ALUMÍNIO;296;UTENSÍLIOS DE INOX/ALUMÍNIO
17434;DECANTER GS TANGO 1.9L 311104007;UTENSÍLIOS DE VIDRO;296;UTENSÍLIOS DE INOX/ALUMÍNIO
3539;SANDALIA HAVAIANAS TOP NAUTICAL MAR 43/44;CALÇADO ADULTO;56;CALÇADO ADULTO
2131;Açaí com Guaraná  Orgânico Sambazon 765g;AÇAÍ;193;MASSA SECA
15734;PICOLE FRUT BISS TRADICIONAL 60G TANGERINA;SORVETE;278;SORVETE
2314;BARRA DE FRUTA 60g NUTRY AMEND/ACAI;BARRA DE CEREAL;40;BARRA DE CEREAL
1758;SOBRECOXA FGO SADIA 1KG PC CONG;AVE CONGELADA;33;AVE RESFRIADA
14390;SAB LIQ GRANADO GLICERINA E MEL 200ML;SABONETE LÍQUIDO;261;SABONETE LÍQUIDO
3578;SAND HAVAIANAS KIDS TOP DISNEY 1PR VERM RUBI 27/28;CALÇADO ADULTO;56;CALÇADO ADULTO
325;ESCOVA RAQUETE TOP COLOR BONITTA;ACESSÓRIOS PARA CABELO;6;ACESSÓRIOS PARA CABELO
10110;RODO P/PIA ESFREBOM ESTILO;LIMPEZA;296;UTENSÍLIOS DE INOX/ALUMÍNIO
16058;PERNIL DIANTEIRO TEMP ASSADO kg .;SUÍNO RESFRIADO;284;SUÍNO RESFRIADO
8438;ALIMENTOS CONGELADOS 300g BALSAMO HAMBURGUER;HAMBÚRGUER;22;ARROZ
9079;COALHADA APRECIARE 130G;IOGURTE;39;BANHO
1745;FILEZINHO PATO GERMANIA CONG PCT 500G;AVE CONGELADA;216;OVO DE PÁSCOA
